month,GMB,GMB_green,GMB_brown,GMB_ind_adj,Green_factor
200901,-.032214258,-.084231503,-.052017245,.012009449,-.023110501
200902,.018109247,-.09099482,-.10910407,.022536039,.011853592
200903,.036050379,.10036902,.064318642,-.00015936047,.0137964
200904,.012847841,.093925916,.081078075,-.018451139,-.051765971
200905,-.008859586,.05536459,.064224176,-.007961411,.0048120585
200906,.024913017,.0084998151,-.016413203,.0029860898,.014673483
200907,.0016313568,.075203545,.073572189,-.013824113,-.010438837
200908,.022540631,.042276517,.019735886,-.024249079,.014969459
200909,-.0059485324,.031555545,.037504077,.0066305101,-.0055428147
200910,-.0023075892,-.013052901,-.010745312,.033053294,.0066174734
200911,.0099993497,.061760224,.051760875,.0042237155,.00839624
200912,.0047245435,.020650839,.015926296,-.013887749,-.012573723
201001,.010844279,-.035843462,-.046687741,-.0066260733,.0049682162
201002,-.0037673861,.028071865,.031839252,-.0069423802,-.0019139922
201003,.012129825,.062265214,.050135389,-.0033789873,.012775145
201004,-.023768153,.0055458839,.029314037,-.0034935409,-.022802588
201005,-.00083359331,-.083034955,-.082201362,-.00066432357,-.0067226319
201006,-.0031872392,-.056008101,-.052820861,.020497896,.00076300133
201007,-.017655194,.06538488,.083040074,-.0026164651,-.012541407
201008,-.037595708,-.062134448,-.024538741,.0030001402,-.015722714
201009,.012153149,.091496065,.079342917,.00022657216,.013438818
201010,-.0074898899,.044559237,.052049126,.010070086,.000709838
201011,-.034783654,-.017005501,.017778153,-.02307798,-.0053090113
201012,-.012540482,.063460551,.076001033,-.010011956,-.00026342241
201101,-.020718757,.01846762,.039186377,-.0025860965,-.0061737108
201102,-.022591956,.020214185,.042806141,-.0095397178,.0017027325
201103,-.0081973597,-.003160052,.0050373082,.0040804148,-.0027706088
201104,.0040995367,.034774404,.030674867,.011154987,.0028887237
201105,.022253491,-.0036707672,-.025924258,.0002726065,.00254256
201106,.0034742309,-.014219246,-.017693477,.0084623536,.0041752318
201107,-.0023739394,-.023919066,-.021545127,.0092970151,-.0053436398
201108,-.0028921887,-.050462086,-.047569897,-.00076644495,-.010480024
201109,.018501103,-.052023754,-.070524856,.022823453,.0042953691
201110,-.031917766,.08385478,.11577255,-.027908534,-.017924441
201111,-.023394175,-.011875386,.011518789,-.0050090048,-.0092669092
201112,.012500184,.016521052,.0040208683,-.0036541258,.0058078673
201201,.032600924,.049866423,.017265497,.0060272627,.010236717
201202,-.0029876716,.033347391,.036335062,-.02073247,.00078509666
201203,.046112813,.04935655,.0032437376,.0053182282,.01392232
201204,.00067177624,-.0034048238,-.0040766001,.0043922085,-.0080116224
201205,.0052518696,-.052645426,-.057897296,.01285959,.0018708558
201206,.013661884,.052881882,.039219998,-.00016108528,.0046653161
201207,-.0076625124,.0074426001,.015105112,.0025437889,-.0033454129
201208,.013507332,.022426471,.0089191394,-.00011508539,.0089197569
201209,.013237929,.038991529,.025753601,-.0052159373,.0030855669
201210,-.0026551131,-.013662209,-.011007096,-.012585451,-.0050964826
201211,.0049566352,.00380608,-.0011505551,-.0053348416,-.0016490024
201212,-.0007650964,.014340259,.015105356,-.018964432,-.0053684884
201301,.0057681277,.066115394,.060347266,-.017306652,.006714941
201302,.00021547638,.014014688,.013799212,-.00076345447,.0052000792
201303,.0084343962,.045275554,.036841158,.0028034933,.0060318373
201304,.019045705,.027156726,.0081110206,.0049703354,.012213256
201305,.021933764,.032041918,.010108155,-.0059573371,.0062411176
201306,.0078592272,-.0093780523,-.01723728,-.0012360057,.0057419799
201307,.0037829727,.054567244,.050784271,-.0034575351,.0095170187
201308,-.0016719997,-.028640026,-.026968027,.002340382,-.00032215129
201309,.0063265245,.03695447,.030627945,-.010385457,-.00018281296
201310,.010610063,.048478812,.037868749,.02430095,.0048578773
201311,.031128934,.042578951,.011450017,.0041140653,.012652182
201312,-.010804454,.020438299,.031242752,-.0040687434,.0021244669
201401,.0037839003,-.032837667,-.036621567,.0074952617,-.0047738906
201402,-.0091910772,.041423596,.050614674,-.0072634332,.0040984256
201403,-.017294396,.0034250647,.020719461,.00026945584,-.0071770982
201404,-.025841985,-.0056626033,.020179382,-.0012670987,-.0063128737
201405,.0098580578,.023752054,.013893996,.021640988,.01100941
201406,-.015811358,.019098755,.034910113,-.0061005633,-.0023431301
201407,.035185285,-.0043703867,-.039555673,.019657269,.014497016
201408,-.0088413544,.037463307,.046304662,-.0090645403,-.0011375115
201409,.038017944,-.0087950211,-.046812966,.028201178,.022396602
201410,.023956543,.030206695,.0062501524,-.0011504237,.01686432
201411,.042111523,.033635162,-.0084763626,.033645384,.02584823
201412,-.00797485,-.0013096086,.0066652419,-.0071273772,.0041115494
201501,-.001740966,-.034711223,-.032970257,.0053222626,.007736891
201502,.023435593,.064177521,.040741928,.00062460825,.0059459298
201503,.0046666944,-.010064462,-.014731157,-.0075065726,.0058015008
201504,-.0040301122,.013256487,.017286599,.010244977,-.012538156
201505,.039265107,.023573054,-.015692053,.023012456,.022960437
201506,.031292908,-.0058406866,-.037133593,.00085840747,.013783097
201507,.052731432,.026705628,-.026025804,.02246248,.049318641
201508,-.027026426,-.069506891,-.042480465,-.011607673,-.03484666
201509,.013136677,-.032479223,-.0456159,.012266124,.016204465
201510,-.0078762919,.076053157,.083929449,.024513502,.0022135465
201511,.015835829,.011468222,-.0043676072,.0015285276,.012890229
201512,.034996383,-.010773398,-.045769781,.017732114,.023474693
201601,-.040613901,-.079292938,-.038679037,-.0022287853,-.0051474287
201602,-.027611695,-.013837446,.013774251,-.0025566451,-.0052140215
201603,-.0187109,.062477563,.081188463,-.0042487606,-.0294494
201604,.0057986192,.031865247,.026066627,-.012103545,-.026395781
201605,.012514747,.016703663,.0041889166,.0038186722,.025608599
201606,-.038947463,-.012461945,.026485519,-.0040732431,-.022839494
201607,.028073724,.042555891,.014482168,-.00096673891,.012070259
201608,.0046362183,.0071238661,.0024876478,-.0085245781,-.0034495525
201609,-.006422258,-.0032390447,.0031832133,-.00070806965,.00028121579
201610,-.0037658885,-.023454988,-.0196891,.0085888021,.0017140897
201611,.016389769,.073773026,.057383258,-.018447783,-.018631397
201612,.0049986523,.025428524,.020429872,.01703449,-.0015773955
201701,.016228653,.024441335,.0082126819,-.016114797,.0048106704
201702,.02787081,.040535212,.012664402,.023006259,.027674835
201703,-.0058818581,-.0076463255,-.0017644672,.00075980369,.0045520463
201704,.011343029,.010613644,-.00072938536,.0022225417,.013409787
201705,.0024250776,.0015876469,-.00083743065,.012280112,.011706186
201706,.036056373,.035999119,-.000057253186,-.0026287325,.014985736
201707,.013775359,.026595583,.012820224,.00018504448,.00050145132
201708,.0092793554,-.00077448023,-.010053836,-.001403498,.015648151
201709,-.021900548,.022568742,.044469289,-.023318224,-.021407643
201710,-.0058207987,.013837322,.01965812,.011944166,.0013196112
201711,.00022952817,.028443346,.028213818,.0011531785,-.00039524009
201712,-.0044318484,.011481301,.015913149,.0040171817,-.0042111366
201801,.038876586,.066913828,.028037243,-.01852328,.029418206
201802,.014120858,-.035259042,-.0493799,-.012293009,.016016969
201803,-.028281206,-.034724645,-.0064434391,-.025106588,-.02000035
201804,-.00042027328,.012780624,.013200898,-.014605192,-.0072364095
201805,-.0096167102,.017909966,.027526677,-.011145551,-.0020307149
201806,.0066992175,.013625413,.0069261957,.012271962,-.00023720783
201807,-.00070572831,.027347205,.028052934,.0038732104,.0029308381
201808,.020583626,.038081117,.017497491,-.0041686296,.022116616
201809,-.0042836349,-.0022796872,.0020039475,.0054654605,-.0008026819
201810,.036562618,-.056803811,-.093366429,.05708611,.0094228666
201811,.0097279921,.029760975,.020032983,-.00060691312,.018388754
201812,-.0027350858,-.099429227,-.096694142,.00076710433,-.00090523937
201901,-.00011164695,.086320646,.086432293,-.018493943,-.007213302
201902,-.00055702031,.03061929,.03117631,.001161281,.0068358425
201903,-.019010678,-.002594667,.016416011,-.0014999695,.0015578195
201904,.0096601285,.044321358,.03466123,.0083914436,.0027835716
201905,.039426289,-.046244323,-.085670613,.02515287,.024515096
201906,-.0069800913,.068536036,.075516127,.0086131319,-.0010142766
201907,.013112699,.013770033,.00065733405,-.018914286,.012845838
201908,.01217995,-.022176245,-.034356195,.02246573,.016383722
201909,-.026691824,.0023030527,.028994877,-.0048441943,-.029123483
201910,.025407864,.029964685,.0045568221,.0016607083,.017807743
201911,.020012757,.046023261,.026010504,-.013539415,.025812911
201912,-.011864353,.023971241,.035835594,-.0019830372,-.021943772
202001,.020010784,-.0094424747,-.029453259,.0056367647,.04416899
202002,.026125491,-.073784418,-.099909909,-.002091974,.018695233
202003,.065899462,-.12202106,-.18792053,.056298457,.0433583
202004,.0061697662,.13545963,.12928987,-.0021371543,-.056513939
202005,.0067818016,.057216171,.05043437,-.021886557,.024882339
202006,-.0087279687,.00071717642,.0094451448,.006180441,.0059325206
202007,.012099389,.058530081,.046430692,.019481178,.034356356
202008,.03005987,.069338024,.039278153,.025247592,.032454513
202009,-.0055591855,-.035085313,-.029526128,-.0016235486,.0063576316
202010,-.018942229,-.019716103,-.00077387341,-.045448747,-.019211404
202011,-.0071681291,.13380642,.14097455,-.014449254,-.0098038921
202012,-.0055639185,.04844746,.054011378,-.019160364,-.011084355
202101,.00098573242,.0021462725,.00116054,-.021617359,-.022848511
202102,-.0013289694,.028637024,.029965993,-.031619087,-.070203155
202103,-.026382884,.023305567,.049688451,.016822366,-.01126122
202104,.013286367,.058994047,.04570768,-.01739952,.036492702
202105,-.0061234171,.0035377967,.0096612135,-.0013494203,-.035664111
202106,.018715732,.031755395,.013039663,-.0035273898,.038620856
202107,.018426415,.026026735,.0076003196,-.0071633067,.027976608
202108,.015910905,.03340156,.017490655,-.0098528471,.024194889
202109,-.011238348,-.047473393,-.036235046,.0067471713,-.053201362
202110,.013639413,.072741516,.059102103,.0011144876,.026041368
202111,-.057933509,-.045430124,.012503385,.013530463,-.0035080041
202112,-.026909441,.035110433,.062019873,.016166814,-.0062269159
202201,-.047038987,-.062894627,-.015855642,.0065450072,-.053823944
202202,-.02983167,-.039120451,-.0092887804,-.019993667,-.056801137
202203,-.015836332,.032665517,.048501849,.0073190555,-.0031142014
202204,-.037853062,-.095520683,-.05766762,.012445353,-.070304528
202205,-.046356775,-.010049908,.036306866,-.0094594229,-.033994369
202206,.039314203,-.073872335,-.11318654,.00042914599,.017652834
202207,-.0083951354,.083330661,.091725796,-.00070078671,.0086624427
202208,-.025666885,-.038878854,-.013211969,-.0057117641,-.032108054
202209,.0031554773,-.085360602,-.088516079,.0045108497,-.0047935327
202210,-.06348151,.061583772,.12506528,-.00060148537,-.033378832
202211,-.0039747581,.050358113,.054332871,-.0049255714,.0080643203
202212,-.017290685,-.062870279,-.045579594,.011388779,-.0053449799
202301,.029681817,.068496898,.038815081,-.011360936,.0032800147
202302,.0086050779,-.022880662,-.03148574,.016401613,-.014847732
202303,.016975652,.025337271,.008361618,.0029984303,.037633419
202304,.0059498837,.020343829,.014393945,.0082741361,.027642941
202305,.058868349,.0079696085,-.050898738,-.0069158534,.029760642
202306,-.013744477,.060943287,.074687764,.016282503,-.017625786
202307,-.0089918599,.032146581,.04113844,-.024241295,-.016763382
202308,.0048699398,-.015827989,-.020697929,-.0020303912,.00078697817
202309,-.0036391355,-.036169589,-.032530453,-.009034697,-.026239622
202310,.015996782,-.024462281,-.040459063,.025024917,.0038492633
202311,.04564184,.10009893,.054457091,.012383878,.055743732
202312,-.00047272071,.043332808,.043805528,-.019110356,-.018632276
