date,biodiversity,climate
02jan2000,1,0
03jan2000,0,0
04jan2000,0,1
05jan2000,0,0
06jan2000,0,0
07jan2000,0,0
08jan2000,1,0
09jan2000,-1,0
10jan2000,0,0
11jan2000,1,0
12jan2000,0,0
13jan2000,0,0
14jan2000,0,0
15jan2000,0,1
16jan2000,0,0
17jan2000,0,0
18jan2000,0,0
19jan2000,0,0
20jan2000,0,0
21jan2000,0,0
22jan2000,0,0
23jan2000,0,0
24jan2000,0,0
25jan2000,0,0
26jan2000,0,0
27jan2000,0,0
28jan2000,1,0
29jan2000,1,0
30jan2000,0,0
31jan2000,0,0
01feb2000,0,0
02feb2000,0,0
03feb2000,0,0
04feb2000,0,0
05feb2000,0,0
06feb2000,0,0
07feb2000,0,0
08feb2000,1,1
09feb2000,0,0
10feb2000,0,0
11feb2000,0,0
12feb2000,0,0
13feb2000,0,0
14feb2000,0,0
15feb2000,0,0
16feb2000,0,0
17feb2000,0,0
18feb2000,0,0
19feb2000,0,0
20feb2000,4,0
21feb2000,0,0
22feb2000,1,0
23feb2000,0,0
24feb2000,0,0
25feb2000,0,0
26feb2000,0,0
27feb2000,-1,0
28feb2000,0,0
29feb2000,0,1
01mar2000,0,0
02mar2000,0,0
03mar2000,0,0
04mar2000,1,0
05mar2000,0,0
06mar2000,0,0
07mar2000,1,0
08mar2000,1,0
09mar2000,0,0
10mar2000,0,0
11mar2000,1,0
12mar2000,0,0
13mar2000,0,0
14mar2000,1,0
15mar2000,0,0
16mar2000,1,0
17mar2000,0,0
18mar2000,0,0
19mar2000,1,0
20mar2000,-1,0
21mar2000,0,0
22mar2000,0,0
23mar2000,0,0
24mar2000,-1,0
25mar2000,0,0
26mar2000,-1,0
27mar2000,0,0
28mar2000,0,0
29mar2000,1,0
30mar2000,0,0
31mar2000,-1,0
01apr2000,1,0
02apr2000,1,0
03apr2000,0,0
04apr2000,0,0
05apr2000,0,0
06apr2000,1,0
07apr2000,0,0
08apr2000,0,0
09apr2000,-1,0
10apr2000,0,0
11apr2000,1,0
12apr2000,0,0
13apr2000,0,0
14apr2000,0,0
15apr2000,0,0
16apr2000,0,0
17apr2000,0,0
18apr2000,0,0
19apr2000,0,0
20apr2000,0,0
21apr2000,0,0
22apr2000,0,0
23apr2000,0,0
24apr2000,1,0
25apr2000,1,0
26apr2000,0,0
27apr2000,0,0
28apr2000,0,0
29apr2000,0,0
30apr2000,0,0
01may2000,1,0
02may2000,0,0
03may2000,0,0
04may2000,1,0
05may2000,0,0
06may2000,1,0
07may2000,2,0
08may2000,0,0
09may2000,1,1
10may2000,0,0
11may2000,0,0
12may2000,0,0
13may2000,1,0
14may2000,0,0
15may2000,-1,0
16may2000,1,0
17may2000,0,0
18may2000,0,0
19may2000,0,0
20may2000,1,0
21may2000,0,0
22may2000,0,0
23may2000,1,0
24may2000,0,0
25may2000,0,0
26may2000,0,0
27may2000,0,0
28may2000,0,0
29may2000,1,0
30may2000,2,0
31may2000,-1,0
01jun2000,0,0
02jun2000,0,0
03jun2000,0,0
04jun2000,1,-1
05jun2000,1,0
06jun2000,0,0
07jun2000,0,0
08jun2000,0,0
09jun2000,0,0
10jun2000,0,0
11jun2000,-1,0
12jun2000,0,0
13jun2000,0,0
14jun2000,-1,0
15jun2000,1,0
16jun2000,0,0
17jun2000,0,0
18jun2000,0,0
19jun2000,0,0
20jun2000,1,0
21jun2000,0,0
22jun2000,0,0
23jun2000,0,0
24jun2000,0,0
25jun2000,1,0
26jun2000,0,0
27jun2000,1,0
28jun2000,0,0
29jun2000,1,0
30jun2000,0,0
01jul2000,0,0
02jul2000,0,0
03jul2000,0,0
04jul2000,2,0
05jul2000,0,0
06jul2000,1,0
07jul2000,0,0
08jul2000,0,0
09jul2000,1,0
10jul2000,0,0
11jul2000,2,1
12jul2000,0,0
13jul2000,-1,0
14jul2000,0,0
15jul2000,0,0
16jul2000,0,0
17jul2000,0,0
18jul2000,0,0
19jul2000,0,0
20jul2000,0,0
21jul2000,1,0
22jul2000,0,0
23jul2000,0,0
24jul2000,1,0
25jul2000,-1,1
26jul2000,0,0
27jul2000,0,1
28jul2000,0,0
29jul2000,0,0
30jul2000,0,0
31jul2000,0,0
01aug2000,0,0
02aug2000,0,0
03aug2000,0,0
04aug2000,0,0
05aug2000,0,0
06aug2000,0,0
07aug2000,0,0
08aug2000,0,0
09aug2000,0,0
10aug2000,0,0
11aug2000,0,0
12aug2000,0,0
13aug2000,1,1
14aug2000,0,0
15aug2000,-1,0
16aug2000,-1,0
17aug2000,-1,0
18aug2000,0,0
19aug2000,0,-1
20aug2000,2,0
21aug2000,1,0
22aug2000,-1,0
23aug2000,0,0
24aug2000,2,0
